Timestamp,Slot,Outcome,Shares,Entry_Price,Target_Price,Exit_Price,Max_Bid_Seen,Profit_USDC,Status
2026-02-27 22:50:00,1772243100,Down,20.0,0.02,0.25,0.0,0.01,-0.4,LOSS_ORACLE
2026-02-27 23:05:00,1772244000,Down,20.0,0.02,0.25,0.0,0.01,-0.4,LOSS_ORACLE
2026-02-27 23:10:00,1772244300,Down,20.0,0.01,0.25,0.0,0.0,-0.2,LOSS_ORACLE
2026-02-27 23:20:00,1772244900,Down,20.0,0.02,0.25,0.0,0.02,-0.4,LOSS_ORACLE
2026-02-27 23:35:00,1772245800,Down,20.0,0.02,0.25,0.0,0.01,-0.4,LOSS_ORACLE
2026-02-27 23:50:00,1772246700,Down,20.0,0.02,0.25,0.0,0.02,-0.4,LOSS_ORACLE
2026-02-28 00:00:00,1772247300,Up,20.0,0.02,0.25,0.0,0.01,-0.4,LOSS_ORACLE
2026-02-28 00:05:00,1772247600,Up,20.0,0.01,0.25,0.0,0.0,-0.2,LOSS_ORACLE
2026-02-28 00:10:00,1772247900,Down,20.0,0.01,0.25,0.0,0.0,-0.2,LOSS_ORACLE
2026-02-28 00:20:00,1772248500,Down,20.0,0.01,0.25,0.0,0.01,-0.2,LOSS_ORACLE
2026-02-28 00:35:00,1772249400,Up,20.0,0.02,0.25,0.0,0.01,-0.4,LOSS_ORACLE
2026-02-28 00:40:00,1772249700,Up,20.0,0.02,0.25,0.0,0.01,-0.4,LOSS_ORACLE
2026-02-28 00:50:00,1772250300,Down,20.0,0.02,0.25,0.0,0.02,-0.4,LOSS_ORACLE
2026-02-28 00:55:00,1772250600,Down,20.0,0.01,0.25,0.0,0.02,-0.2,LOSS_ORACLE
2026-02-28 01:00:00,1772250900,Up,20.0,0.02,0.25,0.0,0.02,-0.4,LOSS_ORACLE
2026-02-28 01:10:00,1772251500,Up,20.0,0.02,0.25,0.0,0.01,-0.4,LOSS_ORACLE
2026-02-28 01:25:00,1772252400,Down,20.0,0.02,0.25,0.0,0.01,-0.4,LOSS_ORACLE
2026-02-28 01:30:00,1772252700,Up,20.0,0.02,0.25,0.0,0.01,-0.4,LOSS_ORACLE
2026-02-28 01:35:00,1772253000,Up,20.0,0.02,0.25,0.0,0.01,-0.4,LOSS_ORACLE
2026-02-28 01:40:00,1772253300,Down,20.0,0.02,0.25,0.0,0.01,-0.4,LOSS_ORACLE
2026-02-28 01:55:00,1772254200,Down,20.0,0.01,0.25,0.0,0.0,-0.2,LOSS_ORACLE
2026-02-28 02:00:00,1772254500,Up,20.0,0.02,0.25,0.0,0.01,-0.4,LOSS_ORACLE
2026-02-28 02:15:00,1772255400,Down,20.0,0.02,0.25,0.0,0.01,-0.4,LOSS_ORACLE
2026-02-28 02:30:00,1772256300,Up,20.0,0.02,0.25,0.0,0.02,-0.4,LOSS_ORACLE
2026-02-28 02:35:00,1772256600,Up,20.0,0.02,0.25,0.0,0.02,-0.4,LOSS_ORACLE
2026-02-28 02:45:00,1772257200,Up,20.0,0.02,0.25,0.0,0.01,-0.4,LOSS_ORACLE
2026-02-28 02:55:00,1772257800,Up,20.0,0.02,0.25,0.0,0.01,-0.4,LOSS_ORACLE
2026-02-28 03:00:00,1772258100,Down,20.0,0.01,0.25,0.0,0.0,-0.2,LOSS_ORACLE
2026-02-28 03:15:00,1772259000,Up,20.0,0.02,0.25,0.0,0.0,-0.4,LOSS_ORACLE
2026-02-28 03:20:00,1772259300,Up,20.0,0.01,0.25,0.0,0.0,-0.2,LOSS_ORACLE
2026-02-28 03:25:00,1772259600,Down,20.0,0.02,0.25,0.0,0.098,-0.4,LOSS_ORACLE
2026-02-28 03:30:00,1772259900,Up,20.0,0.01,0.25,0.0,0.0,-0.2,LOSS_ORACLE
2026-02-28 03:35:00,1772260200,Up,20.0,0.01,0.25,0.0,0.0,-0.2,LOSS_ORACLE
2026-02-28 03:40:00,1772260500,Up,20.0,0.02,0.25,0.0,0.02,-0.4,LOSS_ORACLE
2026-02-28 03:45:00,1772260800,Down,20.0,0.02,0.25,0.0,0.01,-0.4,LOSS_ORACLE
2026-02-28 03:50:00,1772261100,Up,20.0,0.02,0.25,0.0,0.01,-0.4,LOSS_ORACLE
2026-02-28 03:55:00,1772261400,Up,20.0,0.02,0.25,0.0,0.01,-0.4,LOSS_ORACLE
2026-02-28 04:00:00,1772261700,Up,20.0,0.01,0.25,0.0,0.0,-0.2,LOSS_ORACLE
2026-02-28 04:05:00,1772262000,Down,20.0,0.02,0.25,0.0,0.01,-0.4,LOSS_ORACLE
2026-02-28 04:10:00,1772262300,Down,20.0,0.02,0.25,0.0,0.02,-0.4,LOSS_ORACLE
2026-02-28 04:15:00,1772262600,Down,20.0,0.02,0.25,0.0,0.01,-0.4,LOSS_ORACLE
2026-02-28 04:25:00,1772263200,Up,20.0,0.01,0.25,0.0,0.0,-0.2,LOSS_ORACLE
2026-02-28 04:30:00,1772263500,Down,20.0,0.02,0.25,0.0,0.01,-0.4,LOSS_ORACLE
2026-02-28 04:35:00,1772263800,Down,20.0,0.01,0.25,0.0,0.0,-0.2,LOSS_ORACLE
2026-02-28 04:40:00,1772264100,Down,20.0,0.01,0.25,0.0,0.0,-0.2,LOSS_ORACLE
